,location,city,latitude,longitude
0,Gulberg,Lahore,31.522069,74.355512
1,Allama Iqbal Town,Lahore,31.506483000000003,74.286017
2,Gulberg,Lahore,31.495909,74.350569
3,Military Accounts Housing Society,Lahore,31.421229,74.28556
4,Eden,Lahore,31.441113,74.239683
5,Upper Mall,Lahore,31.542114,74.355898
6,Park View Villas,Lahore,31.450248,74.20093100000001
7,Askari,Lahore,31.537239000000003,74.420211
8,Bedian Road,Lahore,31.473474,74.429569
9,Agrics Town,Lahore,31.441625,74.224648
10,Gulberg,Lahore,31.526312,74.347959
11,Askari,Lahore,31.533161,74.419481
12,Chaman Park,Lahore,31.567912,74.399192
15,Askari,Lahore,31.536068,74.408666
16,Askari,Lahore,31.537458,74.41332299999999
17,Askari,Lahore,31.53327,74.41358000000001
24,EME Society,Lahore,31.439978000000004,74.209685
25,GOR,Lahore,31.543431,74.344225
26,Karim Park,Lahore,31.590234,74.300365
27,Gulberg,Lahore,31.53842,74.352357
28,Gulshan-e-Ravi,Lahore,31.551184000000003,74.284058
29,Al-Raheem Garden,Lahore,31.597234000000004,74.474513
30,EME Society,Lahore,31.437744,74.21349000000001
31,Gulberg,Lahore,31.505678000000003,74.348202
32,Mateen Avenue,Lahore,31.441992,74.291389
33,Paragon City,Lahore,31.530739,74.456184
34,IEP Engineers Town,Lahore,31.402513,74.292798
35,Bahria Town,Lahore,31.374195,74.191482
37,Askari,Lahore,31.533849,74.409633
45,Architects Engineers Housing Society,Lahore,31.443749,74.259152
46,Paragon City,Lahore,31.533372,74.45134200000001
47,DHA Defence,Lahore,31.469155,74.47055300000001
48,Bahria Town,Lahore,31.374414,74.177749
52,Samanabad,Lahore,31.539206,74.305515
54,DHA Defence,Lahore,31.471571,74.44590600000001
55,DHA Defence,Lahore,31.466227000000003,74.427137
56,Allama Iqbal Town,Lahore,31.518337,74.297862
58,DHA Defence,Lahore,31.465422,74.38530899999999
60,DHA Defence,Lahore,31.466227000000003,74.440012
63,Askari,Lahore,31.574430554518,74.443696327507
64,Askari,Lahore,31.717278715535,74.455991908908
65,Allama Iqbal Town,Lahore,31.521703,74.298978
73,DHA Defence,Lahore,31.462493,74.40934200000001
77,Model Town,Lahore,31.473883882339,74.329080193659
78,Sultan Pura,Lahore,31.581615000000003,74.341853
81,Gulberg,Lahore,31.525956,74.342206
83,DHA Defence,Lahore,31.466007,74.448338
88,Cantt,Lahore,31.5288,74.39312
89,Bahria Town,Lahore,31.388758000000003,74.185073
90,T & T Aabpara Housing Society,Lahore,31.413758,74.239726
93,DHA Defence,Lahore,31.467105,74.459581
94,Al Faisal Town,Lahore,31.550672,74.403963
95,Allama Iqbal Town,Lahore,31.504068,74.27717700000001
97,DHA Defence,Lahore,31.46835,74.40160300000001
98,DHA Defence,Lahore,31.458686,74.406624
99,T & T Aabpara Housing Society,Lahore,31.413355,74.239926
102,Bahria Town,Lahore,31.387824,74.193242
103,Canal Garden,Lahore,31.394711,74.177392
104,Muslim Nagar Housing Scheme,Lahore,31.351625,74.22989799999999
105,Tricon Village,Lahore,31.409619,74.166126
108,Cavalry Ground,Lahore,31.500556,74.367728
111,PCSIR Housing Scheme,Lahore,31.452023,74.26255
112,DHA Defence,Lahore,31.478745,74.407969
113,Pak Arab Housing Society,Lahore,31.426924,74.342333
115,Green Fort,Lahore,31.435401,74.195094
116,Pak Arab Housing Society,Lahore,31.432105,74.349117
117,Pak Arab Housing Society,Lahore,31.433607,74.344912
118,State Life Housing Society,Lahore,31.446824,74.404736
121,DHA 11 Rahbar,Lahore,31.390645000000003,74.252887
122,Shershah Colony - Raiwind Road,Lahore,31.410095,74.222553
126,Jaranwala Road,Lahore,31.606495501781,74.23177331686
127,DHA Defence,Lahore,31.487455,74.46889399999999
132,Mozang,Lahore,31.549166946763,74.318010360003
138,Cricketer Villas,Lahore,31.495427000000003,74.423858
139,Rehman Villas,Lahore,31.484967,74.4104
145,Eden,Lahore,31.470253000000003,74.21430600000001
148,Bahria Town,Lahore,31.385627000000003,74.19681700000001
149,Eden,Lahore,31.381284,74.251868
150,Bahria Town,Lahore,31.374249,74.176404
151,Bahria Town,Lahore,31.364887,74.186554
152,Harbanspura Road,Lahore,31.560697555542003,74.42132568359399
153,Alfalah Town,Lahore,31.482881,74.418933
154,Punjab Govt Employees Society,Lahore,31.420167,74.285746
155,EME Society,Lahore,31.438916,74.211559
156,Ashiana-e-Quaid Housing Scheme,Lahore,31.425257,74.383922
158,DHA Defence,Lahore,31.475378000000003,74.373808
162,Military Accounts Housing Society,Lahore,31.421266,74.28397199999999
163,DHA Defence,Lahore,31.486906,74.385896
168,Cantt,Karachi,24.889395,67.09862700000001
169,Gulistan-e-Jauhar,Karachi,24.914987564087,67.138702392578
170,Malir,Karachi,24.882302,67.18467700000001
171,Gadap Town,Karachi,25.018156,67.066864
172,DHA Defence,Karachi,24.818309020251004,67.080878019333
173,DHA Defence,Karachi,24.805045,67.064323
174,Scheme 33,Karachi,24.964623,67.16855799999999
175,Gulshan-e-Iqbal Town,Karachi,24.939604,67.09590899999999
176,Nazimabad,Karachi,24.906134,67.023983
177,Malir,Karachi,24.956491,67.219341
184,Falcon Complex Faisal,Karachi,24.865828,67.088388
190,Shahra-e-Faisal,Karachi,24.867670621306,67.194591695443
