location,city,latitude,longitude
Gulberg,Lahore,31.522069,74.355512
Allama Iqbal Town,Lahore,31.506483000000003,74.286017
Military Accounts Housing Society,Lahore,31.421229,74.28556
Eden,Lahore,31.441113,74.239683
Upper Mall,Lahore,31.542114,74.355898
Park View Villas,Lahore,31.450248,74.20093100000001
Askari,Lahore,31.537239000000003,74.420211
Bedian Road,Lahore,31.473474,74.429569
Agrics Town,Lahore,31.441625,74.224648
Chaman Park,Lahore,31.567912,74.399192
EME Society,Lahore,31.439978000000004,74.209685
GOR,Lahore,31.543431,74.344225
Karim Park,Lahore,31.590234,74.300365
Gulshan-e-Ravi,Lahore,31.551184000000003,74.284058
Al-Raheem Garden,Lahore,31.597234000000004,74.474513
Mateen Avenue,Lahore,31.441992,74.291389
Paragon City,Lahore,31.530739,74.456184
IEP Engineers Town,Lahore,31.402513,74.292798
Bahria Town,Lahore,31.374195,74.191482
Architects Engineers Housing Society,Lahore,31.443749,74.259152
DHA Defence,Lahore,31.469155,74.47055300000001
Samanabad,Lahore,31.539206,74.305515
Model Town,Lahore,31.473883882339,74.329080193659
Sultan Pura,Lahore,31.581615000000003,74.341853
Cantt,Lahore,31.5288,74.39312
T & T Aabpara Housing Society,Lahore,31.413758,74.239726
Al Faisal Town,Lahore,31.550672,74.403963
Canal Garden,Lahore,31.394711,74.177392
Muslim Nagar Housing Scheme,Lahore,31.351625,74.22989799999999
Tricon Village,Lahore,31.409619,74.166126
Cavalry Ground,Lahore,31.500556,74.367728
PCSIR Housing Scheme,Lahore,31.452023,74.26255
Pak Arab Housing Society,Lahore,31.426924,74.342333
Green Fort,Lahore,31.435401,74.195094
State Life Housing Society,Lahore,31.446824,74.404736
DHA 11 Rahbar,Lahore,31.390645000000003,74.252887
Shershah Colony - Raiwind Road,Lahore,31.410095,74.222553
Jaranwala Road,Lahore,31.606495501781,74.23177331686
Mozang,Lahore,31.549166946763,74.318010360003
Cricketer Villas,Lahore,31.495427000000003,74.423858
Rehman Villas,Lahore,31.484967,74.4104
Harbanspura Road,Lahore,31.560697555542003,74.42132568359399
Alfalah Town,Lahore,31.482881,74.418933
Punjab Govt Employees Society,Lahore,31.420167,74.285746
Ashiana-e-Quaid Housing Scheme,Lahore,31.425257,74.383922
Cantt,Karachi,24.889395,67.09862700000001
Gulistan-e-Jauhar,Karachi,24.914987564087,67.138702392578
Malir,Karachi,24.882302,67.18467700000001
Gadap Town,Karachi,25.018156,67.066864
